ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
000001,2024-07-06T21:45:54.782000,719.202,293,41,0.915129151,8,0.5208333333333333,0.5,15,15.5,8.132000000000001,0.40739597498338437,0.1951219512195122,0.5780698607623448,1.0416666666666665,0.39446877803674824,0.4251070182202844,4.1610273222946885,0.44402985074626866,3.3581061700930106,3.2982743965707177,3.372610842462052,0.076923077,0.125,0.060606061,6,0.75,4.192279335970566,0.791044776,3.779971820732401,3.7099106544304767,3.796956345896504,0.20512820512820518,0.125,0.21212121212121215,4,0.5
Test2,2024-10-13T18:31:55.391000,719.682,222,50,0.9444444444444444,9,1,0.75,9,14,78.00399999999996,0.3084695740618773,0.1,0.5256502177350554,1.3333333333333333,0.2405491923098273,0.38373547444058115,4.309843357656883,0.613953488,3.800771221167318,3.9867379925360047,3.780108246570798,0.18367346938775508,0.19999999999999996,0.18181818181818177,5,0.5555555555555556,4.2045999791988375,0.8186046511627907,3.927574278159598,4.127307850983765,3.905381658956913,0.4285714285714286,0.4,0.43181818181818177,3,0.3333333333333333
  ywsSnI ,2024-11-25T09:43:15.493000,716.71,151,19,0.918918919,3,0.5777777777777777,0.4166666666666667,20.5,26,20.75699999999999,0.2106849353294917,0.3157894736842105,0.5890346165115597,1.3866666666666665,0.1894984686155005,0.24105139147764504,4.271124375880884,0.5374149659863945,4.3501916576202095,4.225266798227836,4.407849285032072,0.42105263157894735,0.33333333333333337,0.46153846153846156,0,0,4.1988961212605505,0.7891156462585034,4.132283034524602,4.072284896710171,4.159974482746646,0.631578947,0.6666666666666667,0.6153846153846154,0,0
  WF2zDd,2024-11-25T10:45:13.088000,718.682,192,21,0.9392265193370166,5,0.5,0.5,12,25,23.53000000000003,0.26715571003587124,0.19047619047619047,0.4590848247208084,1,0.2606566121914553,0.2726716159137329,4.335053846170755,0.6055555555555556,3.8477710443773097,3.7428791068218263,3.8724515002727173,0.33333333333333337,0.25,0.3529411764705882,1,0.2,4.209261984209129,0.8111111111111111,3.9887365127582757,3.9190519386499023,4.0051328831367154,0.38095238095238093,0.25,0.4117647058823529,0,0
  AVQAV3,2024-11-25T14:49:25.755000,720.849,190,55,0.8846153846153846,11,0.6333333333333333,1,5.5,6,18.224999999999966,0.2635780863953477,0.18181818181818182,0.6312875512069794,0.6333333333333333,0.24611976803211863,0.29346918197346733,4.1755035731822625,0.4388888888888889,3.586551157057765,3.264555105,3.6581058353414444,0.13725490196078427,0,0.16279069767441856,7,0.6363636363636364,4.186909593,0.75,3.842048922096616,3.6108963688853315,3.893416156143568,0.3529411764705882,0.1,0.39534883720930236,4,0.36363636363636365
  ChXIQE,2024-11-25T15:20:31.344000,721.315,151,46,0.9701492537313433,8,1,0.75,6,9.5,25.107,0.2093398861801016,0.065217391,0.4460436841047255,1.3333333333333333,0.18337902268305262,0.23024348248272553,4.134692735460459,0.443609023,3.500508140774354,3.009351720698343,3.534774867756401,0.090909091,0,0.095238095,6,0.75,4.176324190870757,0.736842105,3.8251657629897777,3.612924816413385,3.8399732708904555,0.20454545454545459,0,0.2142857142857143,3,0.375
9njfJR,2024-11-26T09:12:56.066000,714.703,252,93,0.8588709677419355,14,0.8166666666666667,1,7,11,11.270999999999999,0.3525940145766843,0.13978494623655913,0.44148548418014183,0.8166666666666667,0.3391108956013832,0.3632519314982012,4.191393482683907,0.43388429752066116,3.8036196977213335,3.6788462789340053,3.823895378274274,0.1325301204819277,0.076923077,0.136986301,9,0.6428571428571429,4.191230549000244,0.7479338842975207,3.9522336018897017,3.885384754875472,3.963096539529514,0.3855421686746988,0.23076923076923073,0.3972602739726028,5,0.35714285714285715
zwWAyy,2024-11-26T09:46:50.023000,720.881,291,28,0.9436619718309859,5,0.4642857142857143,0.4017857142857143,35,13,20.53200000000004,0.4036727282311505,0.35714285714285715,0.6487825313748038,1.1555555555555554,0.3998332246442661,0.4107652081868664,4.373061758340195,0.6914893617021276,3.8854588232234355,4.109662091882109,3.760901451746394,0.25,0.4,0.16666666666666663,2,0.4,4.226651527028117,0.875886525,3.9938757099294797,4.048632708769209,3.963455155018518,0.4642857142857143,0.5,0.4444444444444444,0,0
DkcybF,2024-11-28T12:15:20.476000,719.363,221,68,0.9292452830188679,13,0.75,1,7,9,24.178999999999974,0.3072162454838517,0.16176470588235295,0.5649943074636867,0.75,0.26080366896633167,0.3674978509364804,4.131074131227171,0.4691943127962085,3.7205963857211644,3.8624651057290076,3.693218211684563,0.18181818181818177,0.19999999999999996,0.1785714285714286,8,0.6153846153846154,4.186971624960138,0.7298578199052133,3.921651836336263,3.968170932,3.9126744669393614,0.40909090909090906,0.5,0.3928571428571429,3,0.23076923076923078
4zw0DO,2024-11-28T12:51:25.407000,720.943,216,39,0.9512195121951219,4,0.75,1,19,21.5,10.696000000000026,0.2996075972719064,0.3076923076923077,0.6325271207293781,0.75,0.29384933861969753,0.30951922605094995,4.189768576404219,0.4362745098039216,3.215670947349513,3.4513820923461576,3.110910438462115,0.026315789,0.083333333,0,4,1,4.183376222208172,0.7303921568627452,3.6922059934010565,3.9198517524635306,3.5910301004844007,0.13157894736842102,0.25,0.076923077,3,0.75
  olpEYy,2024-12-01T10:16:43.870000,719.044,117,13,0.9504950495049505,2,0.5333333333333333,0.375,31.5,27,16.503999999999905,0.16271605075628195,0.15384615384615385,0.5157653773621643,1.4222222222222223,0.16987634080968994,0.15508952111802315,4.3462706430061075,0.6060606060606061,4.194320702710425,3.8769560968993995,4.252023358,0.23076923076923073,0.5,0.18181818181818177,0,0,4.217972939651579,0.8585858585858586,4.146429001280825,3.825198848942443,4.204834483524167,0.6153846153846154,0.5,0.6363636363636364,0,0
  9jukD9,2024-12-03T09:18:31.482000,720.9,233,17,0.918552036,3,0.39610389610389607,0.36363636363636365,32,25,15.696000000000026,0.3232071022333195,0.35294117647058826,0.6407046747121654,1.0892857142857142,0.33774713997453903,0.29727893257559385,4.246513216571766,0.5570776255707763,3.6167405070530227,3.581906528342685,3.635740859076843,0.1333333333333333,0.16666666666666663,0.1,2,0.6666666666666666,4.186996786299013,0.7853881278538812,3.8307050603822157,3.826098021,3.8332179909960264,0.4666666666666667,0.33333333333333337,0.5,0,0
  QElY1e,2024-12-03T09:48:40.383000,718.823,213,24,0.9289340101522843,5,0.5606060606060606,0.3666666666666667,24,15,14.220999999999975,0.29631773051224014,0.25,0.6278944886293288,1.5289256198347105,0.31461520566307366,0.2654423915237889,4.346739540949833,0.6256410256410256,4.025894198127481,4.005075417499271,4.032833791670218,0.26086956521739135,0.33333333333333337,0.23529411764705888,3,0.6,4.217498960849113,0.8461538461538461,4.045461564990525,4.0769563506435444,4.034963303106185,0.5652173913043479,0.5,0.5882352941176471,0,0
  mYI3W1,2024-12-03T10:08:56.232000,712.421,256,21,0.8464730290456431,4,0.2902097902097902,0.375,25,16.5,19.72800000000001,0.35933808801256556,0.2857142857142857,0.7357391205481029,0.7738927738927739,0.35294835888552256,0.3771279844899477,4.059190707890239,0.30379746835443033,3.1235280722141696,3.3421641633931465,3.036073635742579,0,0,0,4,1,4.158840898481265,0.6666666666666667,3.565447321935795,3.678926322079731,3.5200557218782205,0.095238095,0.16666666666666663,0.066666667,2,0.5
JWFJdD,2024-12-05T12:14:42.983000,718.889,280,65,0.9507575757575758,10,0.5714285714285714,0.6666666666666666,5,8,11.016999999999996,0.38948989343278306,0.1076923076923077,0.4137203379103036,0.8571428571428571,0.3496750375732549,0.4175860678102833,4.364853457411876,0.6958174904942966,4.138242926465866,4.326391512425104,4.115535338505268,0.4098360655737705,0.5714285714285714,0.38181818181818183,5,0.5,4.229707102664682,0.8783269961977186,4.034846593486834,4.103237932,4.026592466453088,0.6229508196721312,0.7142857142857143,0.6,3,0.3
7oW98a,2024-12-05T12:52:35.407000,720.979,350,44,0.8821752265861027,10,0.38888888888888884,0.4222222222222222,14,18,14.649999999999977,0.48545103255434624,0.13636363636363635,0.4973293258194761,0.9210526315789472,0.4908468223246058,0.48011257812176655,4.366961882358291,0.6371951219512195,4.275744190800371,3.591537045233751,4.383776898,0.38636363636363635,0,0.4473684210526315,1,0.1,4.222567134591179,0.8567073170731707,4.146070003793135,3.879982419319416,4.188083832920565,0.6363636363636364,0.16666666666666663,0.7105263157894737,0,0
Nv34Od,2024-12-08T11:42:58.020000,717.966,279,18,0.9358490566037736,3,0.2403846153846154,0.2928571428571428,46,34,16.67700000000002,0.38859778875322787,0.3333333333333333,0.6225949418217575,0.8208255159474673,0.4071570149574275,0.3579811340251841,4.230928084118687,0.5285171102661597,3.436235038764049,3.5051697268463595,3.4017676947228943,0.11111111111111116,0,0.16666666666666663,3,1,4.191685097284274,0.7642585551330798,3.8054075590513725,3.868824621047647,3.7736990280532337,0.2777777777777778,0.5,0.16666666666666663,0,0
  DYOJyZ,2024-12-09T09:24:19.735000,719.323,250,28,0.8529411764705882,6,0.3484848484848485,0.4,12,9,23.017000000000053,0.34754901483756256,0.21428571428571427,0.6930961473496606,0.8712121212121212,0.3469993581514763,0.3487903317131946,4.2741741560338475,0.576271186,3.788449400322391,4.363211613197441,3.6316960695382865,0.33333333333333337,0.6666666666666667,0.23809523809523814,4,0.6666666666666666,4.221068273173074,0.8516949152542372,3.8922911556699478,4.128754656135734,3.827801110088369,0.4814814814814815,0.8333333333333334,0.38095238095238093,3,0.5
tBKJyj,2024-12-09T09:52:50.221000,720.908,276,56,0.9423076923076923,10,0.5,0.6333333333333333,9.5,12.5,55.960000000000036,0.38285051629334116,0.16071428571428573,0.6019311756839987,0.7894736842105263,0.3433678160654656,0.44255342874367115,4.316750178947618,0.6085271317829457,3.9578132830995036,4.2861573409349605,3.894938889045905,0.2545454545454545,0.2222222222222222,0.26086956521739135,5,0.5,4.2182747800410985,0.8410852713178294,4.012124440101264,4.196293158168847,3.9768580898330046,0.5454545454545454,0.7777777777777778,0.5,2,0.2
WoB3UG,2024-12-09T11:39:55.641000,720.021,270,40,0.9007936507936508,7,0.65,0.4375,15.5,15,15.512,0.37498906281900113,0.2,0.5499089609886378,1.4857142857142858,0.36621155410081174,0.38571318367661805,4.231494898399654,0.5220883534136547,3.5993518339724675,3.374700158162915,3.655514752924855,0.19999999999999996,0.125,0.21875,5,0.7142857142857143,4.18848033,0.7670682730923695,3.8410128318235066,3.6992027327335335,3.876465356596001,0.30000000000000004,0.25,0.3125,2,0.2857142857142857
  R7IOSD,2024-12-09T12:53:27.852000,718.792,225,29,0.892018779,6,0.4375,0.5,12,13,18.242999999999938,0.3130251867021336,0.20689655172413793,0.5850552037307039,0.875,0.2948638989092413,0.33863186022886155,4.2350292211250045,0.47619047619047616,3.5120519076896155,3.258523636985377,3.5781897174385473,0.1428571428571429,0.16666666666666663,0.13636363636363635,4,0.6666666666666666,4.213982372368492,0.8285714285714285,3.872411930722525,3.6956063320459918,3.9185351303772724,0.2857142857142857,0.33333333333333337,0.2727272727272727,0,0
  XpJhGr,2024-12-09T13:54:46.258000,719.144,230,113,0.8340807174887892,16,1,1,5.5,7,29.478000000000065,0.31982468,0.25663716814159293,0.5723791062707887,1,0.25265837914790956,0.4097281161286548,3.969198227859004,0.27522935779816515,3.702960525,3.593721790046273,3.740673897710239,0.070707071,0.035714286,0.08,12,0.75,4.1432605237889275,0.6192660550458715,3.9433590587378182,3.9208977878497224,3.9511135451158528,0.46464646464646464,0.3571428571428571,0.48,4,0.25
YW513B,2024-12-10T11:17:40.531000,719.159,283,55,0.9018181818181819,9,0.5714285714285714,0.8333333333333334,12.5,11,19.815999999999974,0.3935152031748195,0.2727272727272727,0.6462632046598875,0.6857142857142856,0.37868518781494337,0.42060905763916473,4.123329539658919,0.4237918215613383,3.5308719464795226,3.617218148,3.4984921209657798,0.12962962962962965,0.19999999999999996,0.1,7,0.7777777777777778,4.172099560476015,0.7100371747211895,3.830916171329305,3.829311604348426,3.8315178839471336,0.2592592592592593,0.33333333333333337,0.22499999999999998,3,0.3333333333333333
B1RRkw,2024-12-10T12:25:30.116000,721.221,216,24,0.9362745098039216,4,0.7222222222222222,0.5,21,25.5,12.13799999999992,0.29949211129459624,0.16666666666666666,0.5142556858438676,1.4444444444444444,0.30197469883416195,0.29686380516600114,4.238071189909173,0.4630541871921182,3.6437965214805472,3.112688062974752,3.7500182131817064,0.16666666666666663,0,0.19999999999999996,1,0.25,4.211593899318872,0.8078817733990148,3.9244813956375553,3.5887435932118352,3.9916289561227005,0.33333333333333337,0.25,0.35,0,0
4fIbID,2024-12-10T13:03:06.859000,720.094,205,24,0.905940594,5,0.6333333333333333,0.3,21.5,17,18.370000000000005,0.28468505500670743,0.3333333333333333,0.6478848594766795,2.111111111111111,0.29579584085326377,0.26424142990108695,4.273033476153675,0.542713568,4.010307410673483,4.173445437975135,3.9287383970226566,0.375,0.625,0.25,2,0.4,4.212154795530884,0.8442211055276382,4.029630180683611,4.067263066752305,4.010813737649263,0.5,0.5,0.5,0,0
  1TF3H9,2024-12-11T09:44:12.200000,718.476,239,91,0.8430493273542601,14,0.6666666666666666,1,6,8.5,14.975999999999999,0.332648551,0.1978021978021978,0.5588189445437288,0.6666666666666666,0.27646463992348647,0.4038135138716253,4.049423760491149,0.29680365296803657,3.3464735209261174,3.1979265417848155,3.3831015431801372,0.039473684,0,0.046875,14,1,4.155051145950696,0.6621004566210046,3.7838438647479733,3.702922081586733,3.803797181143895,0.25,0.17647058823529416,0.25,4,0.2857142857142857
  GR6pWI,2024-12-11T10:38:09.629000,721.253,185,27,0.9034090909090909,2,0.4444444444444444,0.6666666666666666,27,46.5,12.819999999999993,0.25649806655916857,0.25925925925925924,0.49290332241252377,0.6666666666666666,0.2587846124419141,0.25427551982938934,4.100341951,0.38505747126436785,3.1656801616645986,3.0719448033643344,3.1984875370696906,0,0,0,2,1,4.174724353745293,0.7586206896551724,3.7015922495823226,3.5709648414385855,3.747311842,0.074074074,0,0.1,1,0.5
     5FdTAz,2024-12-11T11:13:49.827000,690.076,255,16,0.8978723404255319,3,0.4226190476190476,0.5277777777777778,33.5,18,50.256000000000085,0.3695245161402512,0.25,0.6768558825404737,0.8007518796992481,0.40678082221108935,0.291487663,4.116543522533679,0.375,3.246088180010344,3.521595077,3.154252547799818,0.0625,0.25,0,3,1,4.168000578587246,0.6982758620689655,3.6780022127004024,3.765788094742546,3.6487402520196883,0.125,0.25,0.083333333,1,0.3333333333333333
RkzwMO,2024-12-12T12:42:37.269000,720.462,311,41,0.6877076411960132,8,0.5714285714285714,0.5,16,9,18.83400000000006,0.43166745782567295,0.21951219512195122,0.5601544564460026,1.1428571428571428,0.4237183140471295,0.44179089405854344,3.9253427178325047,0.22592592592592597,3.1694430788984316,3.079919377,3.1946216199591726,0.028571429,0,0.037037037,7,0.875,4.121349670508295,0.6,3.6670832041427968,3.7025321053125086,3.6571132006888156,0.1428571428571429,0.2222222222222222,0.11111111111111116,4,0.5
B6ju5z,2024-12-12T13:04:59.042000,718.446,162,34,0.9620253164556962,7,0.4857142857142857,0.6666666666666666,9,10,14.087999999999994,0.22548667540775505,0.17647058823529413,0.5532928014074824,0.7285714285714286,0.20125229238939296,0.25550345085453446,4.327745066860223,0.5923566878980892,3.881715802714036,3.854694585439985,3.887506063558476,0.11764705882352944,0.16666666666666663,0.1071428571428571,4,0.5714285714285714,4.2304527198867055,0.8662420382165605,4.0648915572365585,4.028617248749792,4.072664623340867,0.4117647058823529,0.33333333333333337,0.4285714285714286,1,0.14285714285714285
kUPjH0,2024-12-12T13:16:30.348000,683.223,244,62,0.902542373,11,1,0.75,5,11,14.328000000000031,0.3571308342956839,0.080645161,0.351386004,1.3333333333333333,0.31656773924815174,0.3791058517696119,4.076488005764586,0.33476394849785407,3.501850258655357,3.0207691039398155,3.5440503599461937,0.14035087719298245,0,0.1454545454545455,10,0.9090909090909091,4.157436177949296,0.6652360515021459,3.772245881766323,3.512344563,3.7950442430743565,0.26315789473684215,0,0.2727272727272727,4,0.36363636363636365
  BHj9rH,2024-12-12T13:53:39.136000,719.645,202,17,0.8983957219251337,3,0.42857142857142855,0.36363636363636365,31.5,29,32.35799999999995,0.2806939532686255,0.17647058823529413,0.5773541120969368,1.1785714285714284,0.28640881850345373,0.2728871792342721,4.256286790196969,0.5459459459459459,3.9275302225531648,3.9641342181299755,3.9196865092152753,0.23529411764705888,0.33333333333333337,0.2142857142857143,2,0.6666666666666666,4.212715050143293,0.827027027,3.940384186541424,3.961923670638793,3.935768582806273,0.47058823529411764,0.33333333333333337,0.5,2,0.6666666666666666
  52MCE2,2024-12-16T12:20:24.410000,643.578,171,45,0.9583333333333334,6,0.7142857142857143,0.6666666666666666,6.5,9.5,16.341999999999985,0.2657020594240325,0.26666666666666666,0.5517419799931012,1.0714285714285716,0.24500899774422746,0.2911722803989061,4.245612995,0.5209580838323353,3.7837880418493595,3.735855892525348,3.8012179143308167,0.24444444444444446,0.33333333333333337,0.21212121212121215,4,0.6666666666666666,4.200450253534964,0.8023952095808383,3.921412272,3.840701675500202,3.9507615792443573,0.4444444444444444,0.41666666666666663,0.4545454545454546,1,0.16666666666666666
QPKs1S,2024-12-16T16:16:33.444000,716.087,289,45,0.9157894736842105,8,0.625,0.6666666666666666,21.5,14,10.317999999999984,0.4035822462913026,0.24444444444444444,0.5596554608588062,0.9375,0.3942489557393166,0.4154443827796718,4.173419072000224,0.4225352112676056,3.5691070637736435,3.4594282,3.6045914021153487,0.066666667,0,0.088235294,5,0.625,4.193862081210176,0.7746478873239436,3.9413598828514256,3.8528945397878163,3.9699810232543578,0.3555555555555555,0.4545454545454546,0.32352941176470584,1,0.125
LtxLUe,2024-12-17T16:37:50.088000,719.711,302,22,0.8448275862068966,4,0.36458333333333337,0.30952380952380953,24,26,18.01400000000001,0.41961287238905615,0.18181818181818182,0.5201226603456109,1.1778846153846154,0.4354353552137374,0.4024634236028873,4.092928697874521,0.3846153846153846,3.3234164123257504,3.4809422699655834,3.2884106661835646,0.1,0.33333333333333337,0.055555556,2,0.5,4.172818523729916,0.7132867132867133,3.712305368316287,3.618320632639157,3.7331908651334262,0.30000000000000004,0.33333333333333337,0.2777777777777778,2,0.5
uNzthJ,2024-12-17T20:11:41.061000,720.566,291,36,0.9496402877697842,7,0.6333333333333333,0.5,22.5,15,16.451000000000008,0.4038491963262213,0.2222222222222222,0.6850989361141103,1.2666666666666666,0.40311226980567555,0.40545245408912023,4.299885222182802,0.5776173285198556,3.423065351671782,3.6158962592186645,3.3679708066583864,0.055555556,0.25,0,4,0.5714285714285714,4.214905543603376,0.8194945848375451,3.769524882766204,3.866560591490532,3.7418003945592537,0.2222222222222222,0.375,0.1785714285714286,3,0.42857142857142855
UL2058,2024-12-18T13:10:49.581000,719.775,319,104,0.9038461538461539,18,0.7083333333333333,1,5,12,9.360000000000014,0.443194054,0.096153846,0.46643603903997777,0.7083333333333333,0.3872170709113601,0.4921285471011285,4.174077953639262,0.4724919093851133,3.6932281005170084,3.7515842768378618,3.6870199966530874,0.1089108910891089,0.19999999999999996,0.098901099,14,0.7777777777777778,4.1866454306994125,0.7508090614886731,3.9453999843085175,3.8841714745678666,3.951913655557523,0.3564356435643564,0.4,0.3516483516483516,4,0.2222222222222222
cc4Mur,2024-12-19T10:25:44.939000,720.16,355,41,0.8558558558558559,6,0.358974359,0.4,22,24.5,8.311999999999998,0.49294601199733395,0.2682926829268293,0.5711341924016886,0.8974358974358974,0.4765285382243963,0.5148096823073836,4.187238831840119,0.5,3.421610024559904,3.099938745,3.5395561604223333,0.1,0.1,0.1,6,1,4.1827968909097795,0.7469512195121951,3.795207552093766,3.5538004842094058,3.883723476984699,0.19999999999999996,0.1,0.23333333333333328,2,0.3333333333333333
1e3j8l,2024-12-19T11:09:40.552000,712.383,279,24,0.9015151515151515,5,0.3076923076923077,0.2857142857142857,26,29,29.385999999999967,0.39164325931416105,0.125,0.504863255,1.076923076923077,0.37813911070578554,0.4054126845974365,4.240204999610959,0.5381679389312977,3.694193613003174,3.613906631153823,3.705663181838796,0.083333333,0,0.095238095,2,0.4,4.207028634418091,0.8244274809160306,3.9213703762971037,3.7512492657369907,3.9456733920914067,0.375,0.33333333333333337,0.38095238095238093,1,0.2
46fj84,2024-12-19T12:15:18.812000,720.773,246,30,0.9033613445378151,6,0.4,0.6666666666666666,27,13,9.388000000000034,0.3413002429336282,0.16666666666666666,0.6820150033366954,0.6000000000000001,0.3397222821200298,0.34468465716965896,4.206570609874999,0.4576271186440678,3.5775025997626515,3.262764359560665,3.640450247803049,0.10344827586206895,0,0.12,6,1,4.199873049256243,0.8135593220338984,3.9099449384388936,3.6557208815836746,3.960789749809937,0.3448275862068966,0.19999999999999996,0.36,0,0
